"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","CMCC-ESM2",2072,103.083333333333
"SSP1 2050","CMCC-ESM2",2073,92.2083333333333
"SSP1 2050","CMCC-ESM2",2074,100.5
"SSP1 2050","CMCC-ESM2",2075,100.541666666667
"SSP1 2050","CMCC-ESM2",2076,104.5
"SSP1 2050","CMCC-ESM2",2077,96.4166666666667
"SSP1 2050","CMCC-ESM2",2078,110.25
"SSP1 2050","CMCC-ESM2",2079,91.1666666666667
"SSP1 2050","CMCC-ESM2",2080,94.1666666666667
"SSP1 2050","CMCC-ESM2",2081,76.5833333333333
"SSP1 2050","CMCC-ESM2",2082,108
"SSP1 2050","CMCC-ESM2",2083,117.333333333333
"SSP1 2050","CMCC-ESM2",2084,93.4166666666667
"SSP1 2050","CMCC-ESM2",2085,103.041666666667
"SSP1 2050","CMCC-ESM2",2086,109.541666666667
"SSP1 2050","CMCC-ESM2",2087,107.875
"SSP1 2050","CMCC-ESM2",2088,92.8333333333333
"SSP1 2050","CMCC-ESM2",2089,101.625
"SSP1 2050","CMCC-ESM2",2090,104.208333333333
"SSP1 2050","CMCC-ESM2",2091,114.166666666667
"SSP1 2050","CMCC-ESM2",2092,107.125
"SSP1 2050","CMCC-ESM2",2093,109.291666666667
"SSP1 2050","CMCC-ESM2",2094,104.333333333333
"SSP1 2050","CMCC-ESM2",2095,122.083333333333
"SSP1 2050","CMCC-ESM2",2096,88.7916666666667
"SSP1 2050","CMCC-ESM2",2097,121
"SSP1 2050","CMCC-ESM2",2098,105.583333333333
"SSP1 2050","CMCC-ESM2",2099,102.166666666667
"SSP1 2050","CMCC-ESM2",2100,96.9583333333333
"SSP1 2050","CNRM-CM6-1-HR",2001,NA
"SSP1 2050","CNRM-CM6-1-HR",2002,106.208333333333
"SSP1 2050","CNRM-CM6-1-HR",2003,96.1666666666667
"SSP1 2050","CNRM-CM6-1-HR",2004,91.9166666666667
"SSP1 2050","CNRM-CM6-1-HR",2005,91.375
"SSP1 2050","CNRM-CM6-1-HR",2006,94.9583333333333
"SSP1 2050","CNRM-CM6-1-HR",2007,94.375
"SSP1 2050","CNRM-CM6-1-HR",2008,100.291666666667
"SSP1 2050","CNRM-CM6-1-HR",2009,95
"SSP1 2050","CNRM-CM6-1-HR",2010,94.4583333333333
"SSP1 2050","CNRM-CM6-1-HR",2011,92.0833333333333
"SSP1 2050","CNRM-CM6-1-HR",2012,103.916666666667
"SSP1 2050","CNRM-CM6-1-HR",2013,92.375
"SSP1 2050","CNRM-CM6-1-HR",2014,103.166666666667
"SSP1 2050","CNRM-CM6-1-HR",2015,109.25
"SSP1 2050","CNRM-CM6-1-HR",2016,96.5
"SSP1 2050","CNRM-CM6-1-HR",2017,100.041666666667
"SSP1 2050","CNRM-CM6-1-HR",2018,97.0416666666667
"SSP1 2050","CNRM-CM6-1-HR",2019,112.083333333333
"SSP1 2050","CNRM-CM6-1-HR",2020,98.4583333333333
"SSP1 2050","CNRM-CM6-1-HR",2021,94.4583333333333
"SSP1 2050","CNRM-CM6-1-HR",2022,95.0416666666667
"SSP1 2050","CNRM-CM6-1-HR",2023,102.166666666667
"SSP1 2050","CNRM-CM6-1-HR",2024,98.4166666666667
"SSP1 2050","CNRM-CM6-1-HR",2025,90.2083333333333
"SSP1 2050","CNRM-CM6-1-HR",2026,81
"SSP1 2050","CNRM-CM6-1-HR",2027,87.25
"SSP1 2050","CNRM-CM6-1-HR",2028,86.5416666666667
"SSP1 2050","CNRM-CM6-1-HR",2029,91.4166666666667
"SSP1 2050","CNRM-CM6-1-HR",2030,100.791666666667
"SSP1 2050","CNRM-CM6-1-HR",2031,71.9166666666667
"SSP1 2050","CNRM-CM6-1-HR",2032,86.5833333333333
"SSP1 2050","CNRM-CM6-1-HR",2033,100.208333333333
"SSP1 2050","CNRM-CM6-1-HR",2034,100.291666666667
"SSP1 2050","CNRM-CM6-1-HR",2035,98.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2036,98.2083333333333
"SSP1 2050","CNRM-CM6-1-HR",2037,107.041666666667
"SSP1 2050","CNRM-CM6-1-HR",2038,105.958333333333
"SSP1 2050","CNRM-CM6-1-HR",2039,121.083333333333
"SSP1 2050","CNRM-CM6-1-HR",2040,86.1666666666667
"SSP1 2050","CNRM-CM6-1-HR",2041,80.5416666666667
"SSP1 2050","CNRM-CM6-1-HR",2042,100.375
"SSP1 2050","CNRM-CM6-1-HR",2043,101.625
"SSP1 2050","CNRM-CM6-1-HR",2044,92.0833333333333
"SSP1 2050","CNRM-CM6-1-HR",2045,105.333333333333
"SSP1 2050","CNRM-CM6-1-HR",2046,115
"SSP1 2050","CNRM-CM6-1-HR",2047,98.4166666666667
"SSP1 2050","CNRM-CM6-1-HR",2048,101.208333333333
"SSP1 2050","CNRM-CM6-1-HR",2049,104.25
"SSP1 2050","CNRM-CM6-1-HR",2050,99.125
"SSP1 2050","CNRM-CM6-1-HR",2051,112.166666666667
"SSP1 2050","CNRM-CM6-1-HR",2052,105.083333333333
"SSP1 2050","CNRM-CM6-1-HR",2053,93
"SSP1 2050","CNRM-CM6-1-HR",2054,94.1666666666667
"SSP1 2050","CNRM-CM6-1-HR",2055,88.5
"SSP1 2050","CNRM-CM6-1-HR",2056,91.6666666666667
"SSP1 2050","CNRM-CM6-1-HR",2057,102.208333333333
"SSP1 2050","CNRM-CM6-1-HR",2058,99.25
"SSP1 2050","CNRM-CM6-1-HR",2059,95.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2060,101.125
"SSP1 2050","CNRM-CM6-1-HR",2061,104.333333333333
"SSP1 2050","CNRM-CM6-1-HR",2062,108.833333333333
"SSP1 2050","CNRM-CM6-1-HR",2063,100
"SSP1 2050","CNRM-CM6-1-HR",2064,95
"SSP1 2050","CNRM-CM6-1-HR",2065,89.9166666666667
"SSP1 2050","CNRM-CM6-1-HR",2066,93.2916666666667
"SSP1 2050","CNRM-CM6-1-HR",2067,85
"SSP1 2050","CNRM-CM6-1-HR",2068,99.125
"SSP1 2050","CNRM-CM6-1-HR",2069,98.4166666666667
"SSP1 2050","CNRM-CM6-1-HR",2070,91.25
"SSP1 2050","CNRM-CM6-1-HR",2071,96.3333333333333
"SSP1 2050","CNRM-CM6-1-HR",2072,86
"SSP1 2050","CNRM-CM6-1-HR",2073,89.1666666666667
"SSP1 2050","CNRM-CM6-1-HR",2074,99.375
"SSP1 2050","CNRM-CM6-1-HR",2075,99.625
"SSP1 2050","CNRM-CM6-1-HR",2076,100.291666666667
"SSP1 2050","CNRM-CM6-1-HR",2077,94.375
"SSP1 2050","CNRM-CM6-1-HR",2078,107.958333333333
"SSP1 2050","CNRM-CM6-1-HR",2079,90.2916666666667
"SSP1 2050","CNRM-CM6-1-HR",2080,92.9583333333333
"SSP1 2050","CNRM-CM6-1-HR",2081,73.2083333333333
"SSP1 2050","CNRM-CM6-1-HR",2082,107.041666666667
"SSP1 2050","CNRM-CM6-1-HR",2083,112.125
"SSP1 2050","CNRM-CM6-1-HR",2084,91.875
"SSP1 2050","CNRM-CM6-1-HR",2085,100.083333333333
"SSP1 2050","CNRM-CM6-1-HR",2086,107.125
"SSP1 2050","CNRM-CM6-1-HR",2087,107.291666666667
"SSP1 2050","CNRM-CM6-1-HR",2088,91.875
"SSP1 2050","CNRM-CM6-1-HR",2089,100.458333333333
"SSP1 2050","CNRM-CM6-1-HR",2090,100.291666666667
"SSP1 2050","CNRM-CM6-1-HR",2091,113
