"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"213",10,-16,13,0.342948983260747,1.72771236252912
"214",10,-16,14,0.318611103799492,2.14486052957395
"215",10,-16,15,0.285322675111882,2.58847755994041
"216",10,-16,16,0.281155892921286,3.05140053849278
"217",10,-16,17,0.310106851071145,3.52596909954443
"218",10,-16,18,0.32289693845487,4.00390168917984
"219",10,-16,19,0.238692121532471,4.47656771460707
"220",10,-16,20,0.22845743949451,4.93525840622403
"221",10,-16,21,0.0969859965007701,5.37119134286181
"222",10,-16,22,0,5.77629349633423
"223",10,-16,23,0,6.14358563124946
"224",10,-16,24,0,6.46704618276693
"225",10,-16,25,0,5.74575068901298
"226",10,-16,26,0,3.99293734463692
"227",10,-16,27,0,4.22045491867042
"228",10,-16,28,0,3.84380938497119
"229",10,-16,29,0,2.61688827180781
"230",10,-16,30,0,2.80026763405953
"231",10,-15,-15,0,0
"232",10,-15,-14,0,0
"233",10,-15,-13,0,0
"234",10,-15,-12,0,0
"235",10,-15,-11,0,0
"236",10,-15,-10,0,0
"237",10,-15,-9,0,0
"238",10,-15,-8,0,0
"239",10,-15,-7,0,0
"240",10,-15,-6,0,0
"241",10,-15,-5,0,0
"242",10,-15,-4,0,0
"243",10,-15,-3,0,0
"244",10,-15,-2,0.0000000357260637722165,0
"245",10,-15,-1,0.000000744132728995739,0
"246",10,-15,0,0.000014802574268932,0
"247",10,-15,1,0.000287410236127794,0
"248",10,-15,2,0.00541946710259803,0
"249",10,-15,3,0.083247926467047,0
"250",10,-15,4,0.294929933658828,0
"251",10,-15,5,0.343587331851905,0.00966341109062365
"252",10,-15,6,0.322004643991679,0.052346420198911
"253",10,-15,7,0.375073164317597,0.141207396933395
"254",10,-15,8,0.345463377651872,0.28188083560664
"255",10,-15,9,0.326402738068619,0.473296600551013
"256",10,-15,10,0.352906382892497,0.719975038425362
"257",10,-15,11,0.365663995493855,1.0207207745172
"258",10,-15,12,0.373623505581369,1.36914539875701
"259",10,-15,13,0.312370947806548,1.75792126192745
"260",10,-15,14,0.295340281762517,2.18028331191245
"261",10,-15,15,0.312001855116367,2.62962531134501
"262",10,-15,16,0.302460952780215,3.09868919233636
"263",10,-15,17,0.328700739896734,3.5795617510382
"264",10,-15,18,0.328750356919535,4.06357934713208
"265",10,-15,19,0.26997145286015,4.54189332863196
"266",10,-15,20,0.20229439986112,5.00528409497917
"267",10,-15,21,0.0970129974105695,5.4449612337274
"268",10,-15,22,0,5.85310750340226
"269",10,-15,23,0,6.22277264375518
"270",10,-15,24,0,6.54822676718722
"271",10,-15,25,0,5.82887597150148
"272",10,-15,26,0,4.07854589579148
"273",10,-15,27,0,4.30872065086709
"274",10,-15,28,0,3.75267582217468
"275",10,-15,29,0,2.71052221232328
"276",10,-15,30,0,2.89663657612721
"277",10,-14,-14,0,0
"278",10,-14,-13,0,0
"279",10,-14,-12,0,0
"280",10,-14,-11,0,0
"281",10,-14,-10,0,0
"282",10,-14,-9,0,0
"283",10,-14,-8,0,0
"284",10,-14,-7,0,0
"285",10,-14,-6,0,0
"286",10,-14,-5,0,0
"287",10,-14,-4,0,0
"288",10,-14,-3,0,0
"289",10,-14,-2,0.0000000367027973944769,0
"290",10,-14,-1,0.000000772105689945404,0
"291",10,-14,0,0.0000153694828490353,0
"292",10,-14,1,0.000297059424314973,0
"293",10,-14,2,0.00556524957625894,0
"294",10,-14,3,0.0852776852933551,0
"295",10,-14,4,0.29918740052262,0
"296",10,-14,5,0.346410150004614,0.00996720030528248
"297",10,-14,6,0.339234684636348,0.0535306061643003
"298",10,-14,7,0.35345794104284,0.144839100625468
"299",10,-14,8,0.36454064648865,0.287921806068971
"300",10,-14,9,0.345739365028667,0.483307783158337
"301",10,-14,10,0.37340454267752,0.735668929886572
"302",10,-14,11,0.379284733903301,1.04193036303812
"303",10,-14,12,0.348487231922135,1.39548011219598
"304",10,-14,13,0.338360319035821,1.78937663359936
"305",10,-14,14,0.328898858958072,2.21744541220683
"306",10,-14,15,0.308890517110696,2.67303438135591
"307",10,-14,16,0.329383301412251,3.14873831000823
"308",10,-14,17,0.33816909789592,3.6361729714365
"309",10,-14,18,0.331914668130736,4.12647901158668
"310",10,-14,19,0.266306647339769,4.61023841300364
"311",10,-14,20,0.181574810619441,5.07810085506785
"312",10,-14,21,0.0971181236272512,5.52153104349663
"313",10,-14,22,0,5.93276640965535
"314",10,-14,23,0,6.30513900422245
"315",10,-14,24,0,6.63326869459864
"316",10,-14,25,0,5.90552581871531
"317",10,-14,26,0,4.16966077807292
"318",10,-14,27,0,4.4025995464323
"319",10,-14,28,0,3.6647340305996
"320",10,-14,29,0,2.80956776176454
"321",10,-14,30,0,2.99812136737332
"322",10,-13,-13,0,0
"323",10,-13,-12,0,0
"324",10,-13,-11,0,0
"325",10,-13,-10,0,0
"326",10,-13,-9,0,0
"327",10,-13,-8,0,0
"328",10,-13,-7,0,0
"329",10,-13,-6,0,0
"330",10,-13,-5,0,0
"331",10,-13,-4,0,0
"332",10,-13,-3,0,0
"333",10,-13,-2,0.0000000377887249310388,0
"334",10,-13,-1,0.000000802351702508952,0
"335",10,-13,0,0.0000158718934106049,0
"336",10,-13,1,0.000305958641945178,0
"337",10,-13,2,0.00570355803561675,0
"338",10,-13,3,0.0871537138909704,0
"339",10,-13,4,0.305425410680053,0
"340",10,-13,5,0.351288345825744,0.0102833774323926
