"Scen_year","Year","Pheno"
"1990",2086,125.125
"1990",2087,113.583333333333
"1990",2088,97
"1990",2089,111.458333333333
"1990",2090,116.291666666667
"1990",2091,124.75
"1990",2092,114.125
"1990",2093,118.291666666667
"1990",2094,111.666666666667
"1990",2095,130.208333333333
"1990",2096,94.125
"1990",2097,127.375
"1990",2098,120.958333333333
"1990",2099,111.125
"1990",2100,112.25
"2000",2001,NA
"2000",2002,121.125
"2000",2003,111.291666666667
"2000",2004,106.125
"2000",2005,101.333333333333
"2000",2006,98.2083333333333
"2000",2007,103.083333333333
"2000",2008,107.416666666667
"2000",2009,103.333333333333
"2000",2010,103.125
"2000",2011,104.166666666667
"2000",2012,110
"2000",2013,104
"2000",2014,114.541666666667
"2000",2015,125.333333333333
"2000",2016,111.25
"2000",2017,105.208333333333
"2000",2018,112.208333333333
"2000",2019,123.208333333333
"2000",2020,103.333333333333
"2000",2021,103.708333333333
"2000",2022,98.625
"2000",2023,106.375
"2000",2024,105.166666666667
"2000",2025,108
"2000",2026,96.7083333333333
"2000",2027,99.2083333333333
"2000",2028,96.4166666666667
"2000",2029,99
"2000",2030,114.041666666667
"2000",2031,101.25
"2000",2032,101.125
"2000",2033,106.25
"2000",2034,108.333333333333
"2000",2035,116
"2000",2036,105.5
"2000",2037,116.25
"2000",2038,112.166666666667
"2000",2039,127.791666666667
"2000",2040,107.208333333333
"2000",2041,105
"2000",2042,113.125
"2000",2043,107.125
"2000",2044,102.208333333333
"2000",2045,113.166666666667
"2000",2046,120.958333333333
"2000",2047,102.416666666667
"2000",2048,110.208333333333
"2000",2049,111.291666666667
"2000",2050,107.958333333333
"2000",2051,123.375
"2000",2052,121.333333333333
"2000",2053,105.291666666667
"2000",2054,107.416666666667
"2000",2055,100.041666666667
"2000",2056,101.041666666667
"2000",2057,111.041666666667
"2000",2058,102.916666666667
"2000",2059,110.083333333333
"2000",2060,107.375
"2000",2061,114
"2000",2062,113.041666666667
"2000",2063,105.5
"2000",2064,118.958333333333
"2000",2065,96.25
"2000",2066,102.166666666667
"2000",2067,100.125
"2000",2068,105.333333333333
"2000",2069,102.291666666667
"2000",2070,112.208333333333
"2000",2071,112.125
"2000",2072,110.083333333333
"2000",2073,95.875
"2000",2074,103.875
"2000",2075,104.125
"2000",2076,113
"2000",2077,101.166666666667
"2000",2078,115.833333333333
"2000",2079,98.25
"2000",2080,99.8333333333333
"2000",2081,84.9583333333333
"2000",2082,111.5
"2000",2083,128.833333333333
"2000",2084,98.0833333333333
"2000",2085,113.125
"2000",2086,118.583333333333
"2000",2087,110.208333333333
"2000",2088,95.9166666666667
"2000",2089,106.458333333333
"2000",2090,113.291666666667
"2000",2091,119.041666666667
"2000",2092,111.25
"2000",2093,114.958333333333
"2000",2094,109.125
"2000",2095,127.375
"2000",2096,91.625
"2000",2097,125.041666666667
"2000",2098,116.166666666667
"2000",2099,108.375
"2000",2100,104.166666666667
"2010",2001,NA
"2010",2002,122.083333333333
"2010",2003,111.875
"2010",2004,108.208333333333
"2010",2005,102.125
"2010",2006,101.125
"2010",2007,103.25
"2010",2008,107.458333333333
"2010",2009,104.166666666667
"2010",2010,103.166666666667
"2010",2011,104.25
"2010",2012,110.541666666667
"2010",2013,104.166666666667
"2010",2014,115.041666666667
"2010",2015,126.041666666667
"2010",2016,111.5
"2010",2017,106.083333333333
"2010",2018,113.125
"2010",2019,123.125
"2010",2020,104.041666666667
"2010",2021,104.291666666667
"2010",2022,99
"2010",2023,106.958333333333
"2010",2024,106.208333333333
"2010",2025,108.583333333333
"2010",2026,98.0833333333333
"2010",2027,103.208333333333
"2010",2028,97.2916666666667
"2010",2029,99.4166666666667
"2010",2030,114.166666666667
"2010",2031,103.208333333333
"2010",2032,107.208333333333
"2010",2033,106.458333333333
"2010",2034,108.541666666667
"2010",2035,116.291666666667
"2010",2036,106.208333333333
"2010",2037,116.625
"2010",2038,112
"2010",2039,127.708333333333
"2010",2040,108.958333333333
"2010",2041,108.083333333333
"2010",2042,113.208333333333
"2010",2043,108.041666666667
"2010",2044,102.375
"2010",2045,113.166666666667
"2010",2046,120.666666666667
"2010",2047,103
"2010",2048,111
"2010",2049,112.208333333333
"2010",2050,107.833333333333
"2010",2051,123.458333333333
"2010",2052,121.416666666667
"2010",2053,106.458333333333
"2010",2054,109.166666666667
"2010",2055,102.25
"2010",2056,102
"2010",2057,111.208333333333
"2010",2058,103.291666666667
"2010",2059,111
"2010",2060,107.291666666667
"2010",2061,114.125
"2010",2062,113.083333333333
"2010",2063,105.875
"2010",2064,119.458333333333
"2010",2065,96.2083333333333
"2010",2066,103.125
"2010",2067,100.916666666667
"2010",2068,105.583333333333
"2010",2069,103.5
"2010",2070,113.041666666667
"2010",2071,112.083333333333
"2010",2072,111.166666666667
"2010",2073,97.125
"2010",2074,104.541666666667
"2010",2075,105.083333333333
"2010",2076,114.208333333333
"2010",2077,101.333333333333
"2010",2078,116.208333333333
"2010",2079,99.9583333333333
"2010",2080,100.166666666667
"2010",2081,86.1666666666667
"2010",2082,111.291666666667
"2010",2083,129.333333333333
"2010",2084,98.5416666666667
"2010",2085,113.083333333333
"2010",2086,118.5
"2010",2087,110.208333333333
"2010",2088,96.375
"2010",2089,107.25
"2010",2090,113.375
"2010",2091,118.25
"2010",2092,111.541666666667
"2010",2093,115
"2010",2094,109.333333333333
"2010",2095,127.708333333333
"2010",2096,92.25
"2010",2097,125
"2010",2098,116.625
"2010",2099,108.416666666667
"2010",2100,104.416666666667
