"SSP_Time","GCM","Year","Frost"
"SSP1 2050","ACCESS-CM2",2052,0
"SSP1 2050","ACCESS-CM2",2053,7
"SSP1 2050","ACCESS-CM2",2054,0
"SSP1 2050","ACCESS-CM2",2055,0
"SSP1 2050","ACCESS-CM2",2056,0
"SSP1 2050","ACCESS-CM2",2057,0
"SSP1 2050","ACCESS-CM2",2058,8
"SSP1 2050","ACCESS-CM2",2059,4
"SSP1 2050","ACCESS-CM2",2060,0
"SSP1 2050","ACCESS-CM2",2061,0
"SSP1 2050","ACCESS-CM2",2062,1
"SSP1 2050","ACCESS-CM2",2063,0
"SSP1 2050","ACCESS-CM2",2064,7
"SSP1 2050","ACCESS-CM2",2065,0
"SSP1 2050","ACCESS-CM2",2066,0
"SSP1 2050","ACCESS-CM2",2067,0
"SSP1 2050","ACCESS-CM2",2068,16
"SSP1 2050","ACCESS-CM2",2069,1
"SSP1 2050","ACCESS-CM2",2070,30
"SSP1 2050","ACCESS-CM2",2071,2
"SSP1 2050","ACCESS-CM2",2072,33
"SSP1 2050","ACCESS-CM2",2073,0
"SSP1 2050","ACCESS-CM2",2074,3
"SSP1 2050","ACCESS-CM2",2075,0
"SSP1 2050","ACCESS-CM2",2076,3
"SSP1 2050","ACCESS-CM2",2077,0
"SSP1 2050","ACCESS-CM2",2078,0
"SSP1 2050","ACCESS-CM2",2079,0
"SSP1 2050","ACCESS-CM2",2080,0
"SSP1 2050","ACCESS-CM2",2081,0
"SSP1 2050","ACCESS-CM2",2082,0
"SSP1 2050","ACCESS-CM2",2083,0
"SSP1 2050","ACCESS-CM2",2084,0
"SSP1 2050","ACCESS-CM2",2085,0
"SSP1 2050","ACCESS-CM2",2086,0
"SSP1 2050","ACCESS-CM2",2087,0
"SSP1 2050","ACCESS-CM2",2088,0
"SSP1 2050","ACCESS-CM2",2089,3
"SSP1 2050","ACCESS-CM2",2090,9
"SSP1 2050","ACCESS-CM2",2091,0
"SSP1 2050","ACCESS-CM2",2092,0
"SSP1 2050","ACCESS-CM2",2093,0
"SSP1 2050","ACCESS-CM2",2094,1
"SSP1 2050","ACCESS-CM2",2095,0
"SSP1 2050","ACCESS-CM2",2096,0
"SSP1 2050","ACCESS-CM2",2097,0
"SSP1 2050","ACCESS-CM2",2098,0
"SSP1 2050","ACCESS-CM2",2099,11
"SSP1 2050","ACCESS-CM2",2100,3
"SSP1 2050","AWI-CM-1-1-MR",2002,13
"SSP1 2050","AWI-CM-1-1-MR",2003,3
"SSP1 2050","AWI-CM-1-1-MR",2004,0
"SSP1 2050","AWI-CM-1-1-MR",2005,8
"SSP1 2050","AWI-CM-1-1-MR",2006,0
"SSP1 2050","AWI-CM-1-1-MR",2007,13
"SSP1 2050","AWI-CM-1-1-MR",2008,0
"SSP1 2050","AWI-CM-1-1-MR",2009,7
"SSP1 2050","AWI-CM-1-1-MR",2010,0
"SSP1 2050","AWI-CM-1-1-MR",2011,3
"SSP1 2050","AWI-CM-1-1-MR",2012,0
"SSP1 2050","AWI-CM-1-1-MR",2013,0
"SSP1 2050","AWI-CM-1-1-MR",2014,3
"SSP1 2050","AWI-CM-1-1-MR",2015,44
"SSP1 2050","AWI-CM-1-1-MR",2016,0
"SSP1 2050","AWI-CM-1-1-MR",2017,4
"SSP1 2050","AWI-CM-1-1-MR",2018,0
"SSP1 2050","AWI-CM-1-1-MR",2019,0
"SSP1 2050","AWI-CM-1-1-MR",2020,0
"SSP1 2050","AWI-CM-1-1-MR",2021,0
"SSP1 2050","AWI-CM-1-1-MR",2022,0
"SSP1 2050","AWI-CM-1-1-MR",2023,0
"SSP1 2050","AWI-CM-1-1-MR",2024,6
"SSP1 2050","AWI-CM-1-1-MR",2025,2
"SSP1 2050","AWI-CM-1-1-MR",2026,2
"SSP1 2050","AWI-CM-1-1-MR",2027,0
"SSP1 2050","AWI-CM-1-1-MR",2028,0
"SSP1 2050","AWI-CM-1-1-MR",2029,0
"SSP1 2050","AWI-CM-1-1-MR",2030,1
"SSP1 2050","AWI-CM-1-1-MR",2031,0
"SSP1 2050","AWI-CM-1-1-MR",2032,0
"SSP1 2050","AWI-CM-1-1-MR",2033,0
"SSP1 2050","AWI-CM-1-1-MR",2034,2
"SSP1 2050","AWI-CM-1-1-MR",2035,14
"SSP1 2050","AWI-CM-1-1-MR",2036,0
"SSP1 2050","AWI-CM-1-1-MR",2037,0
"SSP1 2050","AWI-CM-1-1-MR",2038,0
"SSP1 2050","AWI-CM-1-1-MR",2039,11
"SSP1 2050","AWI-CM-1-1-MR",2040,0
"SSP1 2050","AWI-CM-1-1-MR",2041,1
"SSP1 2050","AWI-CM-1-1-MR",2042,1
"SSP1 2050","AWI-CM-1-1-MR",2043,0
"SSP1 2050","AWI-CM-1-1-MR",2044,0
"SSP1 2050","AWI-CM-1-1-MR",2045,0
"SSP1 2050","AWI-CM-1-1-MR",2046,0
"SSP1 2050","AWI-CM-1-1-MR",2047,0
"SSP1 2050","AWI-CM-1-1-MR",2048,4
"SSP1 2050","AWI-CM-1-1-MR",2049,0
"SSP1 2050","AWI-CM-1-1-MR",2050,5
"SSP1 2050","AWI-CM-1-1-MR",2051,0
"SSP1 2050","AWI-CM-1-1-MR",2052,0
"SSP1 2050","AWI-CM-1-1-MR",2053,0
"SSP1 2050","AWI-CM-1-1-MR",2054,1
"SSP1 2050","AWI-CM-1-1-MR",2055,0
"SSP1 2050","AWI-CM-1-1-MR",2056,0
"SSP1 2050","AWI-CM-1-1-MR",2057,7
"SSP1 2050","AWI-CM-1-1-MR",2058,4
"SSP1 2050","AWI-CM-1-1-MR",2059,3
"SSP1 2050","AWI-CM-1-1-MR",2060,0
"SSP1 2050","AWI-CM-1-1-MR",2061,0
"SSP1 2050","AWI-CM-1-1-MR",2062,1
"SSP1 2050","AWI-CM-1-1-MR",2063,0
"SSP1 2050","AWI-CM-1-1-MR",2064,3
"SSP1 2050","AWI-CM-1-1-MR",2065,0
"SSP1 2050","AWI-CM-1-1-MR",2066,0
"SSP1 2050","AWI-CM-1-1-MR",2067,0
"SSP1 2050","AWI-CM-1-1-MR",2068,12
"SSP1 2050","AWI-CM-1-1-MR",2069,0
"SSP1 2050","AWI-CM-1-1-MR",2070,29
"SSP1 2050","AWI-CM-1-1-MR",2071,1
"SSP1 2050","AWI-CM-1-1-MR",2072,19
"SSP1 2050","AWI-CM-1-1-MR",2073,0
"SSP1 2050","AWI-CM-1-1-MR",2074,2
"SSP1 2050","AWI-CM-1-1-MR",2075,0
"SSP1 2050","AWI-CM-1-1-MR",2076,0
"SSP1 2050","AWI-CM-1-1-MR",2077,0
"SSP1 2050","AWI-CM-1-1-MR",2078,0
"SSP1 2050","AWI-CM-1-1-MR",2079,0
"SSP1 2050","AWI-CM-1-1-MR",2080,0
"SSP1 2050","AWI-CM-1-1-MR",2081,0
"SSP1 2050","AWI-CM-1-1-MR",2082,0
"SSP1 2050","AWI-CM-1-1-MR",2083,0
"SSP1 2050","AWI-CM-1-1-MR",2084,0
"SSP1 2050","AWI-CM-1-1-MR",2085,0
"SSP1 2050","AWI-CM-1-1-MR",2086,0
"SSP1 2050","AWI-CM-1-1-MR",2087,0
"SSP1 2050","AWI-CM-1-1-MR",2088,0
"SSP1 2050","AWI-CM-1-1-MR",2089,3
"SSP1 2050","AWI-CM-1-1-MR",2090,9
"SSP1 2050","AWI-CM-1-1-MR",2091,0
"SSP1 2050","AWI-CM-1-1-MR",2092,0
"SSP1 2050","AWI-CM-1-1-MR",2093,0
"SSP1 2050","AWI-CM-1-1-MR",2094,0
"SSP1 2050","AWI-CM-1-1-MR",2095,0
"SSP1 2050","AWI-CM-1-1-MR",2096,0
"SSP1 2050","AWI-CM-1-1-MR",2097,0
"SSP1 2050","AWI-CM-1-1-MR",2098,4
"SSP1 2050","AWI-CM-1-1-MR",2099,10
"SSP1 2050","AWI-CM-1-1-MR",2100,3
"SSP1 2050","CMCC-ESM2",2002,20
"SSP1 2050","CMCC-ESM2",2003,8
"SSP1 2050","CMCC-ESM2",2004,0
"SSP1 2050","CMCC-ESM2",2005,9
"SSP1 2050","CMCC-ESM2",2006,0
"SSP1 2050","CMCC-ESM2",2007,16
"SSP1 2050","CMCC-ESM2",2008,1
"SSP1 2050","CMCC-ESM2",2009,7
"SSP1 2050","CMCC-ESM2",2010,0
"SSP1 2050","CMCC-ESM2",2011,5
"SSP1 2050","CMCC-ESM2",2012,0
"SSP1 2050","CMCC-ESM2",2013,0
"SSP1 2050","CMCC-ESM2",2014,5
"SSP1 2050","CMCC-ESM2",2015,52
"SSP1 2050","CMCC-ESM2",2016,1
"SSP1 2050","CMCC-ESM2",2017,5
"SSP1 2050","CMCC-ESM2",2018,0
"SSP1 2050","CMCC-ESM2",2019,0
"SSP1 2050","CMCC-ESM2",2020,0
"SSP1 2050","CMCC-ESM2",2021,0
"SSP1 2050","CMCC-ESM2",2022,0
"SSP1 2050","CMCC-ESM2",2023,0
"SSP1 2050","CMCC-ESM2",2024,8
"SSP1 2050","CMCC-ESM2",2025,1
"SSP1 2050","CMCC-ESM2",2026,2
"SSP1 2050","CMCC-ESM2",2027,0
"SSP1 2050","CMCC-ESM2",2028,0
"SSP1 2050","CMCC-ESM2",2029,0
"SSP1 2050","CMCC-ESM2",2030,3
"SSP1 2050","CMCC-ESM2",2031,5
"SSP1 2050","CMCC-ESM2",2032,0
"SSP1 2050","CMCC-ESM2",2033,0
"SSP1 2050","CMCC-ESM2",2034,3
"SSP1 2050","CMCC-ESM2",2035,32
"SSP1 2050","CMCC-ESM2",2036,0
"SSP1 2050","CMCC-ESM2",2037,0
"SSP1 2050","CMCC-ESM2",2038,0
"SSP1 2050","CMCC-ESM2",2039,8
"SSP1 2050","CMCC-ESM2",2040,0
"SSP1 2050","CMCC-ESM2",2041,4
"SSP1 2050","CMCC-ESM2",2042,2
"SSP1 2050","CMCC-ESM2",2043,0
"SSP1 2050","CMCC-ESM2",2044,0
"SSP1 2050","CMCC-ESM2",2045,0
"SSP1 2050","CMCC-ESM2",2046,0
"SSP1 2050","CMCC-ESM2",2047,0
"SSP1 2050","CMCC-ESM2",2048,5
"SSP1 2050","CMCC-ESM2",2049,0
"SSP1 2050","CMCC-ESM2",2050,4
"SSP1 2050","CMCC-ESM2",2051,0
"SSP1 2050","CMCC-ESM2",2052,0
"SSP1 2050","CMCC-ESM2",2053,7
"SSP1 2050","CMCC-ESM2",2054,0
"SSP1 2050","CMCC-ESM2",2055,0
"SSP1 2050","CMCC-ESM2",2056,0
"SSP1 2050","CMCC-ESM2",2057,8
"SSP1 2050","CMCC-ESM2",2058,8
"SSP1 2050","CMCC-ESM2",2059,4
"SSP1 2050","CMCC-ESM2",2060,0
"SSP1 2050","CMCC-ESM2",2061,0
"SSP1 2050","CMCC-ESM2",2062,2
"SSP1 2050","CMCC-ESM2",2063,0
"SSP1 2050","CMCC-ESM2",2064,4
"SSP1 2050","CMCC-ESM2",2065,0
"SSP1 2050","CMCC-ESM2",2066,0
"SSP1 2050","CMCC-ESM2",2067,0
"SSP1 2050","CMCC-ESM2",2068,17
"SSP1 2050","CMCC-ESM2",2069,1
"SSP1 2050","CMCC-ESM2",2070,30
"SSP1 2050","CMCC-ESM2",2071,2
"SSP1 2050","CMCC-ESM2",2072,33
"SSP1 2050","CMCC-ESM2",2073,0
"SSP1 2050","CMCC-ESM2",2074,3
"SSP1 2050","CMCC-ESM2",2075,0
"SSP1 2050","CMCC-ESM2",2076,0
"SSP1 2050","CMCC-ESM2",2077,0
"SSP1 2050","CMCC-ESM2",2078,0
"SSP1 2050","CMCC-ESM2",2079,0
"SSP1 2050","CMCC-ESM2",2080,0
"SSP1 2050","CMCC-ESM2",2081,0
"SSP1 2050","CMCC-ESM2",2082,0
"SSP1 2050","CMCC-ESM2",2083,1
"SSP1 2050","CMCC-ESM2",2084,0
"SSP1 2050","CMCC-ESM2",2085,0
"SSP1 2050","CMCC-ESM2",2086,0
"SSP1 2050","CMCC-ESM2",2087,0
"SSP1 2050","CMCC-ESM2",2088,0
"SSP1 2050","CMCC-ESM2",2089,4
"SSP1 2050","CMCC-ESM2",2090,9
"SSP1 2050","CMCC-ESM2",2091,0
"SSP1 2050","CMCC-ESM2",2092,0
"SSP1 2050","CMCC-ESM2",2093,0
"SSP1 2050","CMCC-ESM2",2094,2
"SSP1 2050","CMCC-ESM2",2095,0
"SSP1 2050","CMCC-ESM2",2096,0
"SSP1 2050","CMCC-ESM2",2097,0
"SSP1 2050","CMCC-ESM2",2098,4
"SSP1 2050","CMCC-ESM2",2099,13
"SSP1 2050","CMCC-ESM2",2100,4
"SSP1 2050","CNRM-CM6-1-HR",2002,0
"SSP1 2050","CNRM-CM6-1-HR",2003,18
"SSP1 2050","CNRM-CM6-1-HR",2004,2
"SSP1 2050","CNRM-CM6-1-HR",2005,6
"SSP1 2050","CNRM-CM6-1-HR",2006,0
"SSP1 2050","CNRM-CM6-1-HR",2007,7
"SSP1 2050","CNRM-CM6-1-HR",2008,1
"SSP1 2050","CNRM-CM6-1-HR",2009,29
"SSP1 2050","CNRM-CM6-1-HR",2010,1
"SSP1 2050","CNRM-CM6-1-HR",2011,0
"SSP1 2050","CNRM-CM6-1-HR",2012,0
"SSP1 2050","CNRM-CM6-1-HR",2013,0
"SSP1 2050","CNRM-CM6-1-HR",2014,3
"SSP1 2050","CNRM-CM6-1-HR",2015,32
"SSP1 2050","CNRM-CM6-1-HR",2016,4
"SSP1 2050","CNRM-CM6-1-HR",2017,8
"SSP1 2050","CNRM-CM6-1-HR",2018,0
"SSP1 2050","CNRM-CM6-1-HR",2019,0
"SSP1 2050","CNRM-CM6-1-HR",2020,0
"SSP1 2050","CNRM-CM6-1-HR",2021,0
"SSP1 2050","CNRM-CM6-1-HR",2022,0
"SSP1 2050","CNRM-CM6-1-HR",2023,0
"SSP1 2050","CNRM-CM6-1-HR",2024,17
"SSP1 2050","CNRM-CM6-1-HR",2025,2
"SSP1 2050","CNRM-CM6-1-HR",2026,0
"SSP1 2050","CNRM-CM6-1-HR",2027,0
"SSP1 2050","CNRM-CM6-1-HR",2028,0
"SSP1 2050","CNRM-CM6-1-HR",2029,0
"SSP1 2050","CNRM-CM6-1-HR",2030,3
"SSP1 2050","CNRM-CM6-1-HR",2031,0
"SSP1 2050","CNRM-CM6-1-HR",2032,0
"SSP1 2050","CNRM-CM6-1-HR",2033,0
"SSP1 2050","CNRM-CM6-1-HR",2034,3
"SSP1 2050","CNRM-CM6-1-HR",2035,6
"SSP1 2050","CNRM-CM6-1-HR",2036,0
"SSP1 2050","CNRM-CM6-1-HR",2037,2
"SSP1 2050","CNRM-CM6-1-HR",2038,0
"SSP1 2050","CNRM-CM6-1-HR",2039,15
"SSP1 2050","CNRM-CM6-1-HR",2040,0
"SSP1 2050","CNRM-CM6-1-HR",2041,5
"SSP1 2050","CNRM-CM6-1-HR",2042,2
"SSP1 2050","CNRM-CM6-1-HR",2043,6
"SSP1 2050","CNRM-CM6-1-HR",2044,0
"SSP1 2050","CNRM-CM6-1-HR",2045,0
"SSP1 2050","CNRM-CM6-1-HR",2046,0
"SSP1 2050","CNRM-CM6-1-HR",2047,0
"SSP1 2050","CNRM-CM6-1-HR",2048,5
"SSP1 2050","CNRM-CM6-1-HR",2049,2
"SSP1 2050","CNRM-CM6-1-HR",2050,3
"SSP1 2050","CNRM-CM6-1-HR",2051,0
"SSP1 2050","CNRM-CM6-1-HR",2052,7
"SSP1 2050","CNRM-CM6-1-HR",2053,0
"SSP1 2050","CNRM-CM6-1-HR",2054,0
"SSP1 2050","CNRM-CM6-1-HR",2055,0
"SSP1 2050","CNRM-CM6-1-HR",2056,0
"SSP1 2050","CNRM-CM6-1-HR",2057,0
"SSP1 2050","CNRM-CM6-1-HR",2058,9
"SSP1 2050","CNRM-CM6-1-HR",2059,0
"SSP1 2050","CNRM-CM6-1-HR",2060,0
"SSP1 2050","CNRM-CM6-1-HR",2061,0
"SSP1 2050","CNRM-CM6-1-HR",2062,2
"SSP1 2050","CNRM-CM6-1-HR",2063,0
"SSP1 2050","CNRM-CM6-1-HR",2064,31
"SSP1 2050","CNRM-CM6-1-HR",2065,0
"SSP1 2050","CNRM-CM6-1-HR",2066,2
"SSP1 2050","CNRM-CM6-1-HR",2067,0
"SSP1 2050","CNRM-CM6-1-HR",2068,20
"SSP1 2050","CNRM-CM6-1-HR",2069,1
"SSP1 2050","CNRM-CM6-1-HR",2070,31
"SSP1 2050","CNRM-CM6-1-HR",2071,2
"SSP1 2050","CNRM-CM6-1-HR",2072,0
"SSP1 2050","CNRM-CM6-1-HR",2073,0
"SSP1 2050","CNRM-CM6-1-HR",2074,0
"SSP1 2050","CNRM-CM6-1-HR",2075,0
"SSP1 2050","CNRM-CM6-1-HR",2076,42
"SSP1 2050","CNRM-CM6-1-HR",2077,0
"SSP1 2050","CNRM-CM6-1-HR",2078,0
"SSP1 2050","CNRM-CM6-1-HR",2079,0
"SSP1 2050","CNRM-CM6-1-HR",2080,3
"SSP1 2050","CNRM-CM6-1-HR",2081,1
"SSP1 2050","CNRM-CM6-1-HR",2082,0
"SSP1 2050","CNRM-CM6-1-HR",2083,2
"SSP1 2050","CNRM-CM6-1-HR",2084,0
"SSP1 2050","CNRM-CM6-1-HR",2085,0
"SSP1 2050","CNRM-CM6-1-HR",2086,0
"SSP1 2050","CNRM-CM6-1-HR",2087,0
"SSP1 2050","CNRM-CM6-1-HR",2088,0
"SSP1 2050","CNRM-CM6-1-HR",2089,4
"SSP1 2050","CNRM-CM6-1-HR",2090,0
"SSP1 2050","CNRM-CM6-1-HR",2091,0
"SSP1 2050","CNRM-CM6-1-HR",2092,0
"SSP1 2050","CNRM-CM6-1-HR",2093,0
"SSP1 2050","CNRM-CM6-1-HR",2094,2
"SSP1 2050","CNRM-CM6-1-HR",2095,0
"SSP1 2050","CNRM-CM6-1-HR",2096,0
"SSP1 2050","CNRM-CM6-1-HR",2097,0
"SSP1 2050","CNRM-CM6-1-HR",2098,0
"SSP1 2050","CNRM-CM6-1-HR",2099,9
"SSP1 2050","CNRM-CM6-1-HR",2100,5
"SSP1 2050","CNRM-ESM2-1",2002,6
"SSP1 2050","CNRM-ESM2-1",2003,5
"SSP1 2050","CNRM-ESM2-1",2004,3
"SSP1 2050","CNRM-ESM2-1",2005,0
"SSP1 2050","CNRM-ESM2-1",2006,0
"SSP1 2050","CNRM-ESM2-1",2007,17
"SSP1 2050","CNRM-ESM2-1",2008,1
"SSP1 2050","CNRM-ESM2-1",2009,0
"SSP1 2050","CNRM-ESM2-1",2010,4
"SSP1 2050","CNRM-ESM2-1",2011,0
"SSP1 2050","CNRM-ESM2-1",2012,0
"SSP1 2050","CNRM-ESM2-1",2013,0
"SSP1 2050","CNRM-ESM2-1",2014,19
"SSP1 2050","CNRM-ESM2-1",2015,2
"SSP1 2050","CNRM-ESM2-1",2016,7
"SSP1 2050","CNRM-ESM2-1",2017,9
"SSP1 2050","CNRM-ESM2-1",2018,14
"SSP1 2050","CNRM-ESM2-1",2019,0
"SSP1 2050","CNRM-ESM2-1",2020,0
"SSP1 2050","CNRM-ESM2-1",2021,0
"SSP1 2050","CNRM-ESM2-1",2022,0
"SSP1 2050","CNRM-ESM2-1",2023,0
"SSP1 2050","CNRM-ESM2-1",2024,4
"SSP1 2050","CNRM-ESM2-1",2025,0
"SSP1 2050","CNRM-ESM2-1",2026,9
"SSP1 2050","CNRM-ESM2-1",2027,10
"SSP1 2050","CNRM-ESM2-1",2028,0
"SSP1 2050","CNRM-ESM2-1",2029,0
"SSP1 2050","CNRM-ESM2-1",2030,0
"SSP1 2050","CNRM-ESM2-1",2031,1
"SSP1 2050","CNRM-ESM2-1",2032,0
"SSP1 2050","CNRM-ESM2-1",2033,0
"SSP1 2050","CNRM-ESM2-1",2034,0
"SSP1 2050","CNRM-ESM2-1",2035,0
"SSP1 2050","CNRM-ESM2-1",2036,0
"SSP1 2050","CNRM-ESM2-1",2037,0
"SSP1 2050","CNRM-ESM2-1",2038,0
"SSP1 2050","CNRM-ESM2-1",2039,0
"SSP1 2050","CNRM-ESM2-1",2040,0
"SSP1 2050","CNRM-ESM2-1",2041,59
"SSP1 2050","CNRM-ESM2-1",2042,0
"SSP1 2050","CNRM-ESM2-1",2043,0
"SSP1 2050","CNRM-ESM2-1",2044,0
"SSP1 2050","CNRM-ESM2-1",2045,1
"SSP1 2050","CNRM-ESM2-1",2046,0
"SSP1 2050","CNRM-ESM2-1",2047,0
"SSP1 2050","CNRM-ESM2-1",2048,0
"SSP1 2050","CNRM-ESM2-1",2049,1
"SSP1 2050","CNRM-ESM2-1",2050,8
"SSP1 2050","CNRM-ESM2-1",2051,0
"SSP1 2050","CNRM-ESM2-1",2052,0
"SSP1 2050","CNRM-ESM2-1",2053,0
"SSP1 2050","CNRM-ESM2-1",2054,3
"SSP1 2050","CNRM-ESM2-1",2055,11
"SSP1 2050","CNRM-ESM2-1",2056,0
"SSP1 2050","CNRM-ESM2-1",2057,8
"SSP1 2050","CNRM-ESM2-1",2058,7
"SSP1 2050","CNRM-ESM2-1",2059,6
"SSP1 2050","CNRM-ESM2-1",2060,0
"SSP1 2050","CNRM-ESM2-1",2061,0
"SSP1 2050","CNRM-ESM2-1",2062,0
"SSP1 2050","CNRM-ESM2-1",2063,0
"SSP1 2050","CNRM-ESM2-1",2064,7
"SSP1 2050","CNRM-ESM2-1",2065,1
"SSP1 2050","CNRM-ESM2-1",2066,0
"SSP1 2050","CNRM-ESM2-1",2067,0
"SSP1 2050","CNRM-ESM2-1",2068,4
"SSP1 2050","CNRM-ESM2-1",2069,2
"SSP1 2050","CNRM-ESM2-1",2070,1
"SSP1 2050","CNRM-ESM2-1",2071,0
"SSP1 2050","CNRM-ESM2-1",2072,0
"SSP1 2050","CNRM-ESM2-1",2073,0
"SSP1 2050","CNRM-ESM2-1",2074,3
"SSP1 2050","CNRM-ESM2-1",2075,0
"SSP1 2050","CNRM-ESM2-1",2076,0
"SSP1 2050","CNRM-ESM2-1",2077,0
"SSP1 2050","CNRM-ESM2-1",2078,2
"SSP1 2050","CNRM-ESM2-1",2079,0
"SSP1 2050","CNRM-ESM2-1",2080,0
"SSP1 2050","CNRM-ESM2-1",2081,0
"SSP1 2050","CNRM-ESM2-1",2082,0
"SSP1 2050","CNRM-ESM2-1",2083,0
"SSP1 2050","CNRM-ESM2-1",2084,0
"SSP1 2050","CNRM-ESM2-1",2085,0
"SSP1 2050","CNRM-ESM2-1",2086,0
"SSP1 2050","CNRM-ESM2-1",2087,0
"SSP1 2050","CNRM-ESM2-1",2088,0
"SSP1 2050","CNRM-ESM2-1",2089,0
"SSP1 2050","CNRM-ESM2-1",2090,10
"SSP1 2050","CNRM-ESM2-1",2091,0
"SSP1 2050","CNRM-ESM2-1",2092,0
"SSP1 2050","CNRM-ESM2-1",2093,0
"SSP1 2050","CNRM-ESM2-1",2094,0
"SSP1 2050","CNRM-ESM2-1",2095,0
"SSP1 2050","CNRM-ESM2-1",2096,0
"SSP1 2050","CNRM-ESM2-1",2097,0
"SSP1 2050","CNRM-ESM2-1",2098,11
"SSP1 2050","CNRM-ESM2-1",2099,8
"SSP1 2050","CNRM-ESM2-1",2100,4
"SSP1 2050","EC-Earth3-Veg-LR",2002,14
"SSP1 2050","EC-Earth3-Veg-LR",2003,8
"SSP1 2050","EC-Earth3-Veg-LR",2004,1
"SSP1 2050","EC-Earth3-Veg-LR",2005,9
"SSP1 2050","EC-Earth3-Veg-LR",2006,0
"SSP1 2050","EC-Earth3-Veg-LR",2007,16
"SSP1 2050","EC-Earth3-Veg-LR",2008,1
"SSP1 2050","EC-Earth3-Veg-LR",2009,0
"SSP1 2050","EC-Earth3-Veg-LR",2010,0
"SSP1 2050","EC-Earth3-Veg-LR",2011,5
"SSP1 2050","EC-Earth3-Veg-LR",2012,0
"SSP1 2050","EC-Earth3-Veg-LR",2013,0
"SSP1 2050","EC-Earth3-Veg-LR",2014,18
"SSP1 2050","EC-Earth3-Veg-LR",2015,22
"SSP1 2050","EC-Earth3-Veg-LR",2016,1
"SSP1 2050","EC-Earth3-Veg-LR",2017,7
"SSP1 2050","EC-Earth3-Veg-LR",2018,0
"SSP1 2050","EC-Earth3-Veg-LR",2019,0
"SSP1 2050","EC-Earth3-Veg-LR",2020,0
"SSP1 2050","EC-Earth3-Veg-LR",2021,0
"SSP1 2050","EC-Earth3-Veg-LR",2022,0
"SSP1 2050","EC-Earth3-Veg-LR",2023,0
"SSP1 2050","EC-Earth3-Veg-LR",2024,10
"SSP1 2050","EC-Earth3-Veg-LR",2025,27
"SSP1 2050","EC-Earth3-Veg-LR",2026,6
"SSP1 2050","EC-Earth3-Veg-LR",2027,0
"SSP1 2050","EC-Earth3-Veg-LR",2028,0
"SSP1 2050","EC-Earth3-Veg-LR",2029,0
"SSP1 2050","EC-Earth3-Veg-LR",2030,3
"SSP1 2050","EC-Earth3-Veg-LR",2031,1
"SSP1 2050","EC-Earth3-Veg-LR",2032,0
"SSP1 2050","EC-Earth3-Veg-LR",2033,0
"SSP1 2050","EC-Earth3-Veg-LR",2034,3
"SSP1 2050","EC-Earth3-Veg-LR",2035,0
"SSP1 2050","EC-Earth3-Veg-LR",2036,0
"SSP1 2050","EC-Earth3-Veg-LR",2037,0
"SSP1 2050","EC-Earth3-Veg-LR",2038,0
