"Year","Month","Day","Tmin","Tmax","Data_source","Date"
1998,3,15,2.778,19.389,"observed","2000-03-15"
1998,3,16,1.722,17.222,"observed","2000-03-16"
1998,3,17,1.111,15,"observed","2000-03-17"
1998,3,18,-3.889,14.389,"observed","2000-03-18"
1998,3,19,-3.889,15,"observed","2000-03-19"
1998,3,20,2.778,16.722,"observed","2000-03-20"
1998,3,21,1.111,17.222,"observed","2000-03-21"
1998,3,22,8.889,15,"observed","2000-03-22"
1998,3,23,5,16.111,"observed","2000-03-23"
1998,3,24,1.722,16.722,"observed","2000-03-24"
1998,3,25,1.111,16.722,"observed","2000-03-25"
1998,3,26,1.111,16.722,"observed","2000-03-26"
1998,3,27,-1.111,12.222,"observed","2000-03-27"
1998,3,28,-4.389,11.111,"observed","2000-03-28"
1998,3,29,-2.222,13.278,"observed","2000-03-29"
1998,3,30,-1.722,13.889,"observed","2000-03-30"
1998,3,31,-1.722,11.111,"observed","2000-03-31"
1998,4,1,2.222,14.389,"observed","2000-04-01"
1998,4,2,-1.111,14.389,"observed","2000-04-02"
1998,4,3,-1.111,15,"observed","2000-04-03"
1998,4,4,-1.722,15,"observed","2000-04-04"
1998,4,5,-2.222,16.111,"observed","2000-04-05"
1998,4,6,-2.222,15,"observed","2000-04-06"
1998,4,7,-2.222,15.611,"observed","2000-04-07"
1998,4,8,-3.278,13.889,"observed","2000-04-08"
1998,4,9,5,13.889,"observed","2000-04-09"
1998,4,10,4.389,14.389,"observed","2000-04-10"
1998,4,11,3.278,13.889,"observed","2000-04-11"
1998,4,12,-2.222,12.778,"observed","2000-04-12"
1998,4,13,-3.278,12.778,"observed","2000-04-13"
1998,4,14,5,13.889,"observed","2000-04-14"
1998,4,15,2.778,17.778,"observed","2000-04-15"
1998,4,16,1.111,18.278,"observed","2000-04-16"
1998,4,17,-0.611,16.722,"observed","2000-04-17"
1998,4,18,-1.111,17.222,"observed","2000-04-18"
1998,4,19,0.611,17.778,"observed","2000-04-19"
1998,4,20,1.111,20.611,"observed","2000-04-20"
1998,4,21,2.222,23.889,"observed","2000-04-21"
1998,4,22,2.222,24.389,"observed","2000-04-22"
1998,4,23,6.722,24.389,"observed","2000-04-23"
1998,4,24,7.222,21.722,"observed","2000-04-24"
1998,4,25,0.611,17.222,"observed","2000-04-25"
1998,4,26,-0.611,17.778,"observed","2000-04-26"
1998,4,27,3.889,22.222,"observed","2000-04-27"
1998,4,28,3.889,25,"observed","2000-04-28"
1998,4,29,6.111,27.778,"observed","2000-04-29"
1998,4,30,7.778,30.611,"observed","2000-04-30"
1998,5,1,8.278,31.111,"observed","2000-05-01"
1998,5,2,17.222,30.611,"observed","2000-05-02"
1998,5,3,10.611,27.778,"observed","2000-05-03"
1998,5,4,11.111,27.222,"observed","2000-05-04"
1998,5,5,12.778,28.889,"observed","2000-05-05"
1998,5,6,11.722,29.389,"observed","2000-05-06"
1998,5,7,11.111,29.389,"observed","2000-05-07"
1998,5,8,10.611,28.278,"observed","2000-05-08"
1998,5,9,11.111,17.778,"observed","2000-05-09"
1998,5,10,7.222,20.611,"observed","2000-05-10"
1998,5,11,6.111,21.722,"observed","2000-05-11"
1998,5,12,9.389,24.389,"observed","2000-05-12"
1998,5,13,8.889,23.278,"observed","2000-05-13"
1998,5,14,7.778,23.278,"observed","2000-05-14"
1998,5,15,1.722,17.222,"observed","2000-05-15"
1998,5,16,1.111,16.722,"observed","2000-05-16"
1998,5,17,10,16.722,"observed","2000-05-17"
1998,5,18,1.722,19.389,"observed","2000-05-18"
1998,5,19,3.889,22.222,"observed","2000-05-19"
1998,5,20,11.722,21.111,"observed","2000-05-20"
1998,5,21,3.278,21.722,"observed","2000-05-21"
1998,5,22,11.722,24.389,"observed","2000-05-22"
1998,5,23,5.611,23.278,"observed","2000-05-23"
1998,5,24,5.611,23.889,"observed","2000-05-24"
1998,5,25,7.778,20,"observed","2000-05-25"
1998,5,26,6.111,14.389,"observed","2000-05-26"
1998,5,27,7.778,16.111,"observed","2000-05-27"
1998,5,28,2.778,21.111,"observed","2000-05-28"
1998,5,29,10.611,22.222,"observed","2000-05-29"
1998,5,30,11.111,17.778,"observed","2000-05-30"
1998,5,31,6.722,25,"observed","2000-05-31"
1998,6,1,10,28.278,"observed","2000-06-01"
1998,6,2,8.889,28.889,"observed","2000-06-02"
1998,6,3,10.611,26.722,"observed","2000-06-03"
1998,6,4,8.889,24,"observed","2000-06-04"
1998,6,5,8.278,25,"observed","2000-06-05"
1998,6,6,8.278,26.111,"observed","2000-06-06"
1998,6,7,7.778,26.111,"observed","2000-06-07"
1998,6,8,8.889,26.722,"observed","2000-06-08"
1998,6,9,10,29.389,"observed","2000-06-09"
1998,6,10,10,30,"observed","2000-06-10"
1998,6,11,8.278,27.778,"observed","2000-06-11"
1998,6,12,15,30,"observed","2000-06-12"
1998,6,13,15,30.611,"observed","2000-06-13"
1998,6,14,13.889,27.778,"observed","2000-06-14"
1998,6,15,12.778,27.778,"observed","2000-06-15"
1998,6,16,10,25,"observed","2000-06-16"
1998,6,17,8.278,25.611,"observed","2000-06-17"
1998,6,18,7.222,27.222,"observed","2000-06-18"
1998,6,19,12.222,25,"observed","2000-06-19"
1998,6,20,7.778,26.722,"observed","2000-06-20"
1998,6,21,12.222,28.889,"observed","2000-06-21"
1998,6,22,10.611,30,"observed","2000-06-22"
1998,6,23,10,30.611,"observed","2000-06-23"
1998,6,24,10.611,26.111,"observed","2000-06-24"
1998,6,25,7.778,24.389,"observed","2000-06-25"
1998,6,26,5,22.778,"observed","2000-06-26"
1998,6,27,5.611,25,"observed","2000-06-27"
1998,6,28,8.278,29.389,"observed","2000-06-28"
1998,6,29,15,31.722,"observed","2000-06-29"
1998,6,30,13.278,33.889,"observed","2000-06-30"
1998,7,1,12.778,33.889,"observed","2000-07-01"
1998,7,2,15.611,31.111,"observed","2000-07-02"
1998,7,3,14.389,31.722,"observed","2000-07-03"
1998,7,4,13.278,25.611,"observed","2000-07-04"
1998,7,5,13.278,28.278,"observed","2000-07-05"
1998,7,6,11.722,32.222,"observed","2000-07-06"
1998,7,7,19.389,33.889,"observed","2000-07-07"
1998,7,8,18.889,33.889,"observed","2000-07-08"
1998,7,9,16.722,33.889,"observed","2000-07-09"
1998,7,10,16.111,34.389,"observed","2000-07-10"
1998,7,11,11.111,31.722,"observed","2000-07-11"
1998,7,12,10.611,29.389,"observed","2000-07-12"
1998,7,13,10.611,28.889,"observed","2000-07-13"
1998,7,14,12.222,28.278,"observed","2000-07-14"
1998,7,15,13.889,32.222,"observed","2000-07-15"
1998,7,16,13.889,34.389,"observed","2000-07-16"
1998,7,17,17.778,36.722,"observed","2000-07-17"
1998,7,18,16.111,37.222,"observed","2000-07-18"
1998,7,19,15.611,35,"observed","2000-07-19"
1998,7,20,11.111,32.778,"observed","2000-07-20"
1998,7,21,13.278,35.611,"observed","2000-07-21"
1998,7,22,16.111,37.222,"observed","2000-07-22"
1998,7,23,14.389,37.778,"observed","2000-07-23"
1998,7,24,17.778,36.722,"observed","2000-07-24"
1998,7,25,14.389,36.111,"observed","2000-07-25"
1998,7,26,15,39.389,"observed","2000-07-26"
1998,7,27,21.722,40.611,"observed","2000-07-27"
1998,7,28,17.778,40,"observed","2000-07-28"
1998,7,29,16.722,40.611,"observed","2000-07-29"
1998,7,30,20,36.722,"observed","2000-07-30"
1998,7,31,20,34.389,"observed","2000-07-31"
1998,8,1,18.278,30.611,"observed","2000-08-01"
1998,8,2,13.278,33.889,"observed","2000-08-02"
1998,8,3,13.889,37.222,"observed","2000-08-03"
1998,8,4,16.111,38.278,"observed","2000-08-04"
1998,8,5,15.611,40,"observed","2000-08-05"
1998,8,6,12.778,34.389,"observed","2000-08-06"
1998,8,7,12.222,32.222,"observed","2000-08-07"
1998,8,8,11.722,30.611,"observed","2000-08-08"
1998,8,9,12.222,34.389,"observed","2000-08-09"
1998,8,10,12.222,35,"observed","2000-08-10"
1998,8,11,12.778,34.389,"observed","2000-08-11"
1998,8,12,12.778,35,"observed","2000-08-12"
1998,8,13,15,36.722,"observed","2000-08-13"
1998,8,14,14.389,37.778,"observed","2000-08-14"
1998,8,15,15,37.222,"observed","2000-08-15"
1998,8,16,8.278,28.278,"observed","2000-08-16"
1998,8,17,5,25,"observed","2000-08-17"
1998,8,18,5,25,"observed","2000-08-18"
1998,8,19,8.278,27.778,"observed","2000-08-19"
1998,8,20,10,28.889,"observed","2000-08-20"
1998,8,21,9.389,29.389,"observed","2000-08-21"
1998,8,22,10.611,29.389,"observed","2000-08-22"
1998,8,23,10.611,30,"observed","2000-08-23"
1998,8,24,7.778,25,"observed","2000-08-24"
1998,8,25,8.278,29.389,"observed","2000-08-25"
1998,8,26,7.222,30,"observed","2000-08-26"
1998,8,27,10,30,"observed","2000-08-27"
1998,8,28,10.611,33.889,"observed","2000-08-28"
1998,8,29,12.222,35,"observed","2000-08-29"
1998,8,30,11.722,35,"observed","2000-08-30"
1998,8,31,11.722,35.611,"observed","2000-08-31"
1998,9,1,10.611,36.111,"observed","2000-09-01"
1998,9,2,11.722,36.111,"observed","2000-09-02"
1998,9,3,11.111,36.722,"observed","2000-09-03"
1998,9,4,12.222,35.611,"observed","2000-09-04"
1998,9,5,10,33.278,"observed","2000-09-05"
1998,9,6,8.889,33.889,"observed","2000-09-06"
1998,9,7,8.889,35,"observed","2000-09-07"
1998,9,8,10.611,31.111,"observed","2000-09-08"
1998,9,9,14.389,26.722,"observed","2000-09-09"
1998,9,10,5.611,26.111,"observed","2000-09-10"
1998,9,11,7.222,28.278,"observed","2000-09-11"
1998,9,12,8.889,29.389,"observed","2000-09-12"
1998,9,13,8.889,30,"observed","2000-09-13"
1998,9,14,9.389,30.611,"observed","2000-09-14"
1998,9,15,10.611,32.222,"observed","2000-09-15"
1998,9,16,10,32.778,"observed","2000-09-16"
1998,9,17,8.889,32.222,"observed","2000-09-17"
1998,9,18,8.278,29.389,"observed","2000-09-18"
1998,9,19,5.611,22.222,"observed","2000-09-19"
1998,9,20,5,23.278,"observed","2000-09-20"
1998,9,21,5,25,"observed","2000-09-21"
1998,9,22,4.389,25,"observed","2000-09-22"
1998,9,23,5,26.111,"observed","2000-09-23"
1998,9,24,5,26.722,"observed","2000-09-24"
1998,9,25,6.722,24.389,"observed","2000-09-25"
1998,9,26,8.278,22.778,"observed","2000-09-26"
1998,9,27,5,25,"observed","2000-09-27"
1998,9,28,4.389,25.611,"observed","2000-09-28"
1998,9,29,6.111,26.722,"observed","2000-09-29"
1998,9,30,5,27.222,"observed","2000-09-30"
1998,10,1,6.111,27.778,"observed","2000-10-01"
1998,10,2,6.111,25.611,"observed","2000-10-02"
1998,10,3,-1.722,16.722,"observed","2000-10-03"
1998,10,4,-1.111,17.778,"observed","2000-10-04"
1998,10,5,1.722,19.389,"observed","2000-10-05"
1998,10,6,3.278,22.222,"observed","2000-10-06"
1998,10,7,8.278,22.778,"observed","2000-10-07"
1998,10,8,7.778,22.778,"observed","2000-10-08"
1998,10,9,1.111,17.222,"observed","2000-10-09"
1998,10,10,-1.111,16.111,"observed","2000-10-10"
1998,10,11,-1.722,16.111,"observed","2000-10-11"
1998,10,12,6.722,15.611,"observed","2000-10-12"
1998,10,13,6.722,19.389,"observed","2000-10-13"
1998,10,14,0.611,17.222,"observed","2000-10-14"
1998,10,15,-1.722,15,"observed","2000-10-15"
1998,10,16,-3.278,15.611,"observed","2000-10-16"
1998,10,17,1.722,15,"observed","2000-10-17"
1998,10,18,-2.222,15.611,"observed","2000-10-18"
1998,10,19,-3.278,16.722,"observed","2000-10-19"
1998,10,20,-1.722,17.778,"observed","2000-10-20"
1998,10,21,-1.111,18.889,"observed","2000-10-21"
1998,10,22,-2.222,19.389,"observed","2000-10-22"
1998,10,23,-2.778,18.278,"observed","2000-10-23"
1998,10,24,-3.278,18.278,"observed","2000-10-24"
1998,10,25,1.722,18.278,"observed","2000-10-25"
1998,10,26,1.722,18.889,"observed","2000-10-26"
1998,10,27,0.611,17.222,"observed","2000-10-27"
1998,10,28,0.611,17.778,"observed","2000-10-28"
1998,10,29,-4.389,12.222,"observed","2000-10-29"
1998,10,30,-6.722,11.722,"observed","2000-10-30"
1998,10,31,-7.222,10.611,"observed","2000-10-31"
1998,11,1,-3.889,11.722,"observed","2000-11-01"
1998,11,2,-4.389,11.722,"observed","2000-11-02"
1998,11,3,-1.722,11.111,"observed","2000-11-03"
1998,11,4,5.611,10,"observed","2000-11-04"
1998,11,5,6.722,11.722,"observed","2000-11-05"
1998,11,6,-5.611,11.111,"observed","2000-11-06"
1998,11,7,2.222,9,"observed","2000-11-07"
1998,11,8,-0.611,11.111,"observed","2000-11-08"
1998,11,9,-4.389,11.111,"observed","2000-11-09"
1998,11,10,-6.111,8.889,"observed","2000-11-10"
1998,11,11,-2.222,10.611,"observed","2000-11-11"
1998,11,12,-3.278,11.111,"observed","2000-11-12"
1998,11,13,6.722,16.722,"observed","2000-11-13"
1998,11,14,6.111,17.222,"observed","2000-11-14"
1998,11,15,8.889,18.278,"observed","2000-11-15"
1998,11,16,-1.722,15,"observed","2000-11-16"
1998,11,17,4.389,11.111,"observed","2000-11-17"
1998,11,18,-1.722,11.722,"observed","2000-11-18"
1998,11,19,-7.222,8.278,"observed","2000-11-19"
1998,11,20,-1.722,12.778,"observed","2000-11-20"
1998,11,21,6.722,11.722,"observed","2000-11-21"
1998,11,22,-0.611,10,"observed","2000-11-22"
1998,11,23,-0.611,10.611,"observed","2000-11-23"
1998,11,24,2.778,9.389,"observed","2000-11-24"
1998,11,25,5.611,13.889,"observed","2000-11-25"
1998,11,26,5.611,14.389,"observed","2000-11-26"
1998,11,27,-1.722,10,"observed","2000-11-27"
1998,11,28,-2.778,7.778,"observed","2000-11-28"
1998,11,29,-2.778,8.278,"observed","2000-11-29"
1998,11,30,-3.889,6.111,"observed","2000-11-30"
1998,12,1,-1,6.111,"observed","2000-12-01"
1998,12,2,-1.111,7.778,"observed","2000-12-02"
1998,12,3,-6.722,6.111,"observed","2000-12-03"
1998,12,4,-7.222,6.111,"observed","2000-12-04"
1998,12,5,-8.278,5,"observed","2000-12-05"
1998,12,6,-8.278,1.722,"observed","2000-12-06"
1998,12,7,-2.222,6.111,"observed","2000-12-07"
1998,12,8,-4.389,7.778,"observed","2000-12-08"
1998,12,9,-6.111,8.278,"observed","2000-12-09"
1998,12,10,-4.389,5,"observed","2000-12-10"
1998,12,11,-4.389,3.278,"observed","2000-12-11"
1998,12,12,0.611,7,"observed","2000-12-12"
1998,12,13,3,10,"observed","2000-12-13"
1998,12,14,-1.722,8.278,"observed","2000-12-14"
1998,12,15,-3.889,5.611,"observed","2000-12-15"
1998,12,16,-4.389,7.222,"observed","2000-12-16"
1998,12,17,-5.611,12.222,"observed","2000-12-17"
1998,12,18,-6.111,12.778,"observed","2000-12-18"
1998,12,19,-7.222,1.111,"observed","2000-12-19"
1998,12,20,-12.222,-7.222,"observed","2000-12-20"
1998,12,21,-18.278,-7.222,"observed","2000-12-21"
1998,12,22,-19.389,-7.778,"observed","2000-12-22"
1998,12,23,-19.389,-7.778,"observed","2000-12-23"
1998,12,24,-10,-7,"observed","2000-12-24"
1998,12,25,-10,-3,"observed","2000-12-25"
1998,12,26,-3,8.889,"observed","2000-12-26"
1998,12,27,-3.889,6.722,"observed","2000-12-27"
1998,12,28,1.722,11.722,"observed","2000-12-28"
1998,12,29,1.722,15,"observed","2000-12-29"
1998,12,30,-0.611,13.889,"observed","2000-12-30"
1998,12,31,2.778,11.111,"observed","2000-12-31"
1999,1,1,-1.722,10,"observed","2000-01-01"
1999,1,2,-5,6.111,"observed","2000-01-02"
1999,1,3,-7.778,4.389,"observed","2000-01-03"
1999,1,4,-7.778,3.278,"observed","2000-01-04"
1999,1,5,-7,0,"observed","2000-01-05"
1999,1,6,-3,5.611,"observed","2000-01-06"
1999,1,7,-3.889,10.611,"observed","2000-01-07"
1999,1,8,-5,11.111,"observed","2000-01-08"
1999,1,9,-3.889,7.222,"observed","2000-01-09"
1999,1,10,0,6.722,"observed","2000-01-10"
1999,1,11,-4.389,7.222,"observed","2000-01-11"
1999,1,12,-3.278,10,"observed","2000-01-12"
1999,1,13,-4.389,8.278,"observed","2000-01-13"
1999,1,14,-1.111,15.611,"observed","2000-01-14"
1999,1,15,-2.778,12.778,"observed","2000-01-15"
1999,1,16,-3.278,9.389,"observed","2000-01-16"
1999,1,17,-3.889,7.778,"observed","2000-01-17"
1999,1,18,-2.222,8.278,"observed","2000-01-18"
1999,1,19,-2.778,9.389,"observed","2000-01-19"
1999,1,20,-3,6.722,"observed","2000-01-20"
1999,1,21,0.611,7.778,"observed","2000-01-21"
1999,1,22,-1.722,8.278,"observed","2000-01-22"
1999,1,23,-1.111,2.778,"observed","2000-01-23"
1999,1,24,-3,2.222,"observed","2000-01-24"
1999,1,25,-5,1.722,"observed","2000-01-25"
1999,1,26,-3.278,3.889,"observed","2000-01-26"
1999,1,27,-7.222,3.889,"observed","2000-01-27"
1999,1,28,-2.222,10,"observed","2000-01-28"
1999,1,29,6.722,12.222,"observed","2000-01-29"
1999,1,30,0.611,13.278,"observed","2000-01-30"
1999,1,31,-3.278,10,"observed","2000-01-31"
1999,2,1,-3.278,8.278,"observed","2000-02-01"
1999,2,2,5,11.111,"observed","2000-02-02"
1999,2,3,-1.722,8.889,"observed","2000-02-03"
1999,2,4,2.222,10,"observed","2000-02-04"
1999,2,5,-4.389,8.889,"observed","2000-02-05"
1999,2,6,-1.111,7.778,"observed","2000-02-06"
1999,2,7,3.278,8.889,"observed","2000-02-07"
1999,2,8,0.611,6.722,"observed","2000-02-08"
1999,2,9,-3.278,5.611,"observed","2000-02-09"
1999,2,10,-7.778,6.111,"observed","2000-02-10"
1999,2,11,-7.778,6.111,"observed","2000-02-11"
1999,2,12,-3.278,6.111,"observed","2000-02-12"
1999,2,13,-2.778,8.889,"observed","2000-02-13"
1999,2,14,-2.778,9.389,"observed","2000-02-14"
1999,2,15,-4.389,10,"observed","2000-02-15"
1999,2,16,-5,7.778,"observed","2000-02-16"
1999,2,17,-1.722,8.889,"observed","2000-02-17"
1999,2,18,-2.222,10,"observed","2000-02-18"
1999,2,19,-0.611,10.611,"observed","2000-02-19"
1999,2,20,-2.778,8.889,"observed","2000-02-20"
1999,2,21,0.611,8.889,"observed","2000-02-21"
1999,2,22,2.778,13,"observed","2000-02-22"
1999,2,23,1.111,12.222,"observed","2000-02-23"
1999,2,24,7.778,13.889,"observed","2000-02-24"
1999,2,25,2.222,13.278,"observed","2000-02-25"
1999,2,26,-3.889,10.611,"observed","2000-02-26"
1999,2,27,-5,8.889,"observed","2000-02-27"
1999,2,28,1.722,12.778,"observed","2000-02-28"
1999,3,1,-2.222,11.722,"observed","2000-03-01"
1999,3,2,-3.889,11.111,"observed","2000-03-02"
1999,3,3,2.778,9.389,"observed","2000-03-03"
1999,3,4,-2.778,9.389,"observed","2000-03-04"
1999,3,5,-6.111,7.778,"observed","2000-03-05"
1999,3,6,-6.722,8.278,"observed","2000-03-06"
1999,3,7,-5.611,10,"observed","2000-03-07"
1999,3,8,-6.111,10,"observed","2000-03-08"
1999,3,9,-0.611,11,"observed","2000-03-09"
1999,3,10,-3.889,10,"observed","2000-03-10"
1999,3,11,-5,11.111,"observed","2000-03-11"
1999,3,12,-5,11.111,"observed","2000-03-12"
1999,3,13,3.278,12.778,"observed","2000-03-13"
1999,3,14,3.889,14.389,"observed","2000-03-14"
1999,3,15,-3.278,13.889,"observed","2000-03-15"
1999,3,16,-2.778,10.611,"observed","2000-03-16"
1999,3,17,1.111,14.389,"observed","2000-03-17"
1999,3,18,0.611,14.389,"observed","2000-03-18"
1999,3,19,-1.111,20,"observed","2000-03-19"
1999,3,20,1.722,21.722,"observed","2000-03-20"
1999,3,21,10,21.722,"observed","2000-03-21"
1999,3,22,-2.778,16.111,"observed","2000-03-22"
1999,3,23,4.389,17.222,"observed","2000-03-23"
1999,3,24,0,16.722,"observed","2000-03-24"
1999,3,25,-0.611,16.111,"observed","2000-03-25"
1999,3,26,1.722,12.222,"observed","2000-03-26"
1999,3,27,-1.722,10,"observed","2000-03-27"
1999,3,28,-2.778,10,"observed","2000-03-28"
1999,3,29,3.278,11.111,"observed","2000-03-29"
1999,3,30,-3.278,10,"observed","2000-03-30"
1999,3,31,0.611,11.722,"observed","2000-03-31"
1999,4,1,0,15,"observed","2000-04-01"
1999,4,2,-1.111,16.722,"observed","2000-04-02"
1999,4,3,-2.778,16.722,"observed","2000-04-03"
1999,4,4,-3.889,12.222,"observed","2000-04-04"
1999,4,5,-3.889,10.611,"observed","2000-04-05"
1999,4,6,-3.889,15.611,"observed","2000-04-06"
1999,4,7,-5,15.611,"observed","2000-04-07"
1999,4,8,-2.222,16.111,"observed","2000-04-08"
1999,4,9,-3.889,11.722,"observed","2000-04-09"
1999,4,10,-4.389,11.722,"observed","2000-04-10"
1999,4,11,0,17.222,"observed","2000-04-11"
1999,4,12,0.611,18.278,"observed","2000-04-12"
1999,4,13,0,19.389,"observed","2000-04-13"
1999,4,14,-2.778,15.611,"observed","2000-04-14"
1999,4,15,-2.778,19.389,"observed","2000-04-15"
1999,4,16,-1.722,22.222,"observed","2000-04-16"
1999,4,17,2.778,25.611,"observed","2000-04-17"
1999,4,18,12.222,25.611,"observed","2000-04-18"
1999,4,19,1.722,15.611,"observed","2000-04-19"
1999,4,20,0.611,17.778,"observed","2000-04-20"
1999,4,21,-1.722,16.111,"observed","2000-04-21"
1999,4,22,5.611,19.389,"observed","2000-04-22"
1999,4,23,1.722,24.389,"observed","2000-04-23"
1999,4,24,6.111,27.222,"observed","2000-04-24"
1999,4,25,5.611,27.222,"observed","2000-04-25"
1999,4,26,-2.778,19.389,"observed","2000-04-26"
1999,4,27,-3.278,14.389,"observed","2000-04-27"
1999,4,28,-2.222,16.722,"observed","2000-04-28"
1999,4,29,3.889,22.778,"observed","2000-04-29"
1999,4,30,3.278,22.778,"observed","2000-04-30"
1999,5,1,2.222,22.778,"observed","2000-05-01"
1999,5,2,8,14.389,"observed","2000-05-02"
1999,5,3,6.111,16,"observed","2000-05-03"
1999,5,4,1.111,16.111,"observed","2000-05-04"
1999,5,5,3.889,15,"observed","2000-05-05"
1999,5,6,1.722,20.611,"observed","2000-05-06"
1999,5,7,1.722,20.611,"observed","2000-05-07"
1999,5,8,-2.778,11.722,"observed","2000-05-08"
1999,5,9,-3.889,12.778,"observed","2000-05-09"
1999,5,10,-2.778,16.111,"observed","2000-05-10"
1999,5,11,-1.111,17.222,"observed","2000-05-11"
1999,5,12,8.278,16.722,"observed","2000-05-12"
1999,5,13,-0.611,15.611,"observed","2000-05-13"
1999,5,14,-2.778,15.611,"observed","2000-05-14"
1999,5,15,-2.778,16.111,"observed","2000-05-15"
1999,5,16,2.222,17.778,"observed","2000-05-16"
1999,5,17,1.722,19.389,"observed","2000-05-17"
1999,5,18,5,20,"observed","2000-05-18"
1999,5,19,0.611,18.889,"observed","2000-05-19"
1999,5,20,5,22.222,"observed","2000-05-20"
1999,5,21,3.889,22.778,"observed","2000-05-21"
1999,5,22,6.722,25,"observed","2000-05-22"
1999,5,23,7.222,30.611,"observed","2000-05-23"
1999,5,24,8.889,33.278,"observed","2000-05-24"
1999,5,25,15.611,33.889,"observed","2000-05-25"
1999,5,26,4.389,23.278,"observed","2000-05-26"
1999,5,27,2.222,28.889,"observed","2000-05-27"
1999,5,28,12.778,28.889,"observed","2000-05-28"
1999,5,29,12.222,26.111,"observed","2000-05-29"
1999,5,30,8.278,25,"observed","2000-05-30"
1999,5,31,7.778,25.611,"observed","2000-05-31"
1999,6,1,7.778,23.278,"observed","2000-06-01"
1999,6,2,2.222,17.222,"observed","2000-06-02"
1999,6,3,13.278,26.111,"observed","2000-06-03"
1999,6,4,13.278,26.722,"observed","2000-06-04"
